rank,original_index,feature_id,p_value,selected_top250,selected_mixed250
1,4328,X59417_at,2.95882366232706e-12,TRUE,TRUE
2,2354,M92287_at,6.43266588919893e-12,TRUE,TRUE
3,6855,M31523_at,1.1797391037563e-11,TRUE,TRUE
4,6281,M31211_s_at,1.97466377686203e-11,TRUE,TRUE
5,2642,U05259_rna1_at,4.11969500027287e-11,TRUE,TRUE
6,6225,M84371_rna1_s_at,4.72690566443989e-11,TRUE,TRUE
7,1144,J05243_at,8.40660887261776e-11,TRUE,TRUE
8,1685,M11722_at,2.39458053554326e-10,TRUE,TRUE
9,2335,M89957_at,2.67314904868079e-10,TRUE,TRUE
10,2441,S50223_at,2.70823988019847e-10,TRUE,TRUE
11,6974,M28170_at,4.85604875934204e-10,TRUE,TRUE
12,804,HG1612-HT1612_at,4.89088824677213e-10,TRUE,TRUE
13,5772,U22376_cds2_s_at,5.21056426533428e-10,TRUE,TRUE
14,4973,Y08612_at,5.31858248629678e-10,TRUE,TRUE
15,7119,U29175_at,8.50240657770962e-10,TRUE,TRUE
16,6702,X97267_rna1_s_at,9.25386261463339e-10,TRUE,TRUE
17,758,D88270_at,2.6660221986466e-09,TRUE,TRUE
18,1962,M33680_at,2.81818717037211e-09,TRUE,TRUE
19,1928,M31303_rna1_at,3.05741467696925e-09,TRUE,TRUE
20,4196,X17042_at,3.16224732388639e-09,TRUE,TRUE
21,5501,Z15115_at,5.11816860690648e-09,TRUE,TRUE
22,4847,X95735_at,5.57055327491925e-09,TRUE,TRUE
23,4438,X66401_cds1_at,5.59534104898965e-09,TRUE,TRUE
24,5377,U07139_at,9.44124253717875e-09,TRUE,TRUE
25,4167,X15414_at,1.0693704881938e-08,TRUE,TRUE
26,1078,J03473_at,1.09495392539182e-08,TRUE,TRUE
27,5593,D26156_s_at,1.17845558968839e-08,TRUE,TRUE
28,3252,U46499_at,1.82455191119515e-08,TRUE,TRUE
29,1630,L47738_at,2.1434011006153e-08,TRUE,TRUE
30,6283,M65214_s_at,2.46669925827241e-08,TRUE,TRUE
31,5552,L06797_s_at,2.47684217231518e-08,TRUE,TRUE
32,5171,Z49194_at,2.95316845739914e-08,TRUE,TRUE
33,4211,X51521_at,4.03903353647077e-08,TRUE,TRUE
34,149,AF009426_at,5.05560865867356e-08,TRUE,TRUE
35,3722,U77948_at,5.47479645496553e-08,TRUE,TRUE
36,4951,Y07604_at,6.46350922835867e-08,TRUE,TRUE
37,4609,X78669_at,9.1915415899652e-08,TRUE,TRUE
38,2020,M55150_at,9.76853016499243e-08,TRUE,TRUE
39,6257,M27504_s_at,1.10423994897043e-07,TRUE,TRUE
40,2111,M62762_at,1.17383163466563e-07,TRUE,TRUE
41,1239,L07633_at,1.39157812870616e-07,TRUE,TRUE
42,1306,L13278_at,1.5029192488303e-07,TRUE,TRUE
43,1909,M29696_at,1.59512462095701e-07,TRUE,TRUE
44,2497,S76617_at,1.63644016075717e-07,TRUE,TRUE
45,4680,X82240_rna1_at,1.65042364255728e-07,TRUE,TRUE
46,668,D86967_at,2.0054166160141e-07,TRUE,TRUE
47,538,D63880_at,2.29532244566753e-07,TRUE,TRUE
48,3984,U94855_at,2.51190723453608e-07,TRUE,TRUE
49,5254,D38073_at,2.8813911875425e-07,TRUE,TRUE
50,2348,M91432_at,2.94895429620339e-07,TRUE,TRUE
51,6041,L09209_s_at,2.96017059147892e-07,TRUE,FALSE
52,2439,S46622_at,3.00499516055041e-07,TRUE,FALSE
53,4463,X67951_at,3.1391756970243e-07,TRUE,FALSE
54,4318,X58529_at,3.2803276020318e-07,TRUE,FALSE
55,6472,U18271_cds3_s_at,3.32317950772006e-07,TRUE,FALSE
56,4535,X74262_at,3.6352828667304e-07,TRUE,FALSE
57,6801,L49229_f_at,3.96461791225889e-07,TRUE,FALSE
58,6471,U09087_s_at,4.20853953154178e-07,TRUE,FALSE
59,4291,X56468_at,4.32238930256102e-07,TRUE,FALSE
60,6347,M63838_s_at,4.33021188890677e-07,TRUE,FALSE
61,412,D42043_at,4.46444456082094e-07,TRUE,FALSE
62,2131,M63488_at,4.50811487187917e-07,TRUE,FALSE
63,4480,X69111_at,4.66062966116643e-07,TRUE,FALSE
64,2276,M83233_at,4.80933434533512e-07,TRUE,FALSE
65,2626,U03911_at,4.9935373052493e-07,TRUE,FALSE
66,532,D63874_at,6.33775353368243e-07,TRUE,FALSE
67,461,D49950_at,6.42448164634994e-07,TRUE,FALSE
68,1834,M23197_at,6.51916231551603e-07,TRUE,FALSE
69,5625,X62153_s_at,7.39633757314492e-07,TRUE,FALSE
70,4582,X76648_at,7.46008480786738e-07,TRUE,FALSE
71,3507,U62136_at,7.81598403167366e-07,TRUE,FALSE
72,1674,M11147_at,8.21190382624639e-07,TRUE,FALSE
73,4447,X66867_cds1_at,8.36015390421168e-07,TRUE,FALSE
74,2084,M60527_at,9.0534849900038e-07,TRUE,FALSE
75,4366,X61587_at,9.28473892441973e-07,TRUE,FALSE
76,1745,M16038_at,9.63432050259334e-07,TRUE,FALSE
77,5062,Z14982_rna1_at,9.80945324504683e-07,TRUE,FALSE
78,1829,M22960_at,1.0398262436512e-06,TRUE,FALSE
79,1081,J03589_at,1.07548430283304e-06,TRUE,FALSE
80,3778,U79285_at,1.09883357551661e-06,TRUE,FALSE
81,490,D50918_at,1.13955808109112e-06,TRUE,FALSE
82,5274,HG2846-HT2983_at,1.23030814143049e-06,TRUE,FALSE
83,1598,L41559_at,1.35113529645269e-06,TRUE,FALSE
84,6515,U26266_s_at,1.36705698944617e-06,TRUE,FALSE
85,6005,M32304_s_at,1.41764087288373e-06,TRUE,FALSE
86,6167,M12959_s_at,1.4248267424467e-06,TRUE,FALSE
87,1906,M29551_at,1.47518606234098e-06,TRUE,FALSE
88,2733,U10485_at,1.50476987359206e-06,TRUE,FALSE
89,3172,U40572_at,1.54397158871232e-06,TRUE,FALSE
90,3475,U60115_at,1.63188986649787e-06,TRUE,FALSE
91,4389,X63469_at,1.63661983961464e-06,TRUE,FALSE
92,5688,L33930_s_at,1.68695921553518e-06,TRUE,FALSE
93,878,HG2855-HT2995_at,1.74114217701998e-06,TRUE,FALSE
94,4153,X14850_at,1.75293461246495e-06,TRUE,FALSE
95,4472,X68560_at,1.79932820843716e-06,TRUE,FALSE
96,5585,U00802_s_at,1.80384650662996e-06,TRUE,FALSE
97,2288,M84526_at,2.01083146727065e-06,TRUE,FALSE
98,1260,L09717_at,2.03142438102372e-06,TRUE,FALSE
99,3932,U90549_at,2.07020992973139e-06,TRUE,FALSE
100,3070,U33822_at,2.1473525708055e-06,TRUE,FALSE
101,4006,U97502_rna1_at,2.3686099088599e-06,TRUE,FALSE
102,2121,M63138_at,2.62664806790481e-06,TRUE,FALSE
103,3688,U73737_at,2.67859623016724e-06,TRUE,FALSE
104,6064,L14848_s_at,2.70714083730006e-06,TRUE,FALSE
105,5191,Z69881_at,2.80036306319339e-06,TRUE,FALSE
106,635,D84294_at,2.95307314764969e-06,TRUE,FALSE
107,4324,X59350_at,2.95557963045163e-06,TRUE,FALSE
108,3320,U50136_rna1_at,2.9624450190049e-06,TRUE,FALSE
109,1882,M27891_at,2.96261991869173e-06,TRUE,FALSE
110,4914,X99585_at,3.02721717155403e-06,TRUE,FALSE
111,229,D14658_at,3.05556437339995e-06,TRUE,FALSE
112,2363,M93056_at,3.1786520077769e-06,TRUE,FALSE
113,6761,L11672_r_at,3.47340294054519e-06,TRUE,FALSE
114,2855,U18062_at,3.51105640414114e-06,TRUE,FALSE
115,2408,M96803_at,3.75702144685451e-06,TRUE,FALSE
116,2010,M38690_at,3.86607630794886e-06,TRUE,FALSE
117,1380,L20010_at,4.04770532200061e-06,TRUE,FALSE
118,3221,U43885_at,4.09814002075588e-06,TRUE,FALSE
119,2475,S72008_at,4.11986079068804e-06,TRUE,FALSE
120,5300,L08895_at,4.12914263379505e-06,TRUE,FALSE
121,1207,L05148_at,4.59805260144868e-06,TRUE,FALSE
122,1704,M13792_at,4.69181261566447e-06,TRUE,FALSE
123,4936,Y00433_at,4.72627316031639e-06,TRUE,FALSE
124,1120,J04615_at,4.7443922836725e-06,TRUE,FALSE
125,3975,U94319_at,4.7609919105438e-06,TRUE,FALSE
126,1369,L19437_at,4.84845755509737e-06,TRUE,FALSE
127,5984,J04029_s_at,4.85173026542379e-06,TRUE,FALSE
128,4116,X12447_at,5.01258703962059e-06,TRUE,FALSE
129,2422,M98045_at,5.24126732889951e-06,TRUE,FALSE
130,3391,U53468_at,5.31139611986345e-06,TRUE,FALSE
131,4925,X99920_at,5.3790383734773e-06,TRUE,FALSE
132,4164,X15357_at,5.405498412036e-06,TRUE,FALSE
133,1551,L38951_at,5.57636305036069e-06,TRUE,FALSE
134,3137,U38846_at,5.72547102896213e-06,TRUE,FALSE
135,5129,Z35102_at,5.73725716682564e-06,TRUE,FALSE
136,4448,X66899_at,6.32011028961562e-06,TRUE,FALSE
137,6573,U49020_cds2_s_at,6.38248771416107e-06,TRUE,FALSE
138,6049,U89922_s_at,6.41082942581879e-06,TRUE,FALSE
139,4644,X80230_at,6.53757614824944e-06,TRUE,FALSE
140,3847,U82759_at,6.5766634886158e-06,TRUE,FALSE
141,3706,U76638_at,6.63158177992661e-06,TRUE,FALSE
142,6516,U26312_s_at,6.81089897959511e-06,TRUE,FALSE
143,3056,U32944_at,6.90098710614895e-06,TRUE,FALSE
144,6919,X16546_at,7.18107483892694e-06,TRUE,FALSE
145,4330,X59543_at,7.29607829914294e-06,TRUE,FALSE
146,6895,U27460_at,7.49894110685566e-06,TRUE,FALSE
